# snap_directory log_total_column_density(cm^-2) curr_spectrum ion  radius(kpc) gal_R200(kpc) gal_M200(log10(M/10^10*M_sol))
# /cosma5/data/dp004/dc-oppe1/data/Halo_x001/data_005_x001_eagle.NEQ.snap023restart 20.185 Spectrum0 h1 35.570 242.204 12.221
# velocity_array(km/s) ion_flux optical_depth
-4.998e+02 1.000e+00 5.330e-06
-4.984e+02 1.000e+00 5.608e-06
-4.970e+02 1.000e+00 5.900e-06
-4.956e+02 1.000e+00 6.207e-06
-4.942e+02 1.000e+00 6.530e-06
-4.928e+02 1.000e+00 6.868e-06
-4.914e+02 1.000e+00 7.224e-06
-4.900e+02 1.000e+00 7.597e-06
-4.886e+02 1.000e+00 7.989e-06
-4.872e+02 1.000e+00 8.401e-06
-4.858e+02 1.000e+00 8.833e-06
-4.844e+02 1.000e+00 9.287e-06
-4.830e+02 1.000e+00 9.763e-06
-4.816e+02 1.000e+00 1.026e-05
-4.802e+02 1.000e+00 1.079e-05
-4.788e+02 1.000e+00 1.134e-05
-4.774e+02 1.000e+00 1.191e-05
-4.760e+02 1.000e+00 1.252e-05
-4.746e+02 1.000e+00 1.316e-05
-4.732e+02 1.000e+00 1.382e-05
-4.718e+02 1.000e+00 1.452e-05
-4.704e+02 1.000e+00 1.525e-05
-4.690e+02 1.000e+00 1.602e-05
-4.676e+02 1.000e+00 1.683e-05
-4.662e+02 1.000e+00 1.767e-05
-4.648e+02 1.000e+00 1.856e-05
-4.634e+02 1.000e+00 1.949e-05
-4.620e+02 1.000e+00 2.046e-05
-4.606e+02 1.000e+00 2.148e-05
-4.592e+02 1.000e+00 2.255e-05
-4.578e+02 1.000e+00 2.367e-05
-4.564e+02 1.000e+00 2.484e-05
-4.550e+02 1.000e+00 2.607e-05
-4.536e+02 1.000e+00 2.735e-05
-4.522e+02 1.000e+00 2.870e-05
-4.508e+02 1.000e+00 3.011e-05
-4.494e+02 1.000e+00 3.159e-05
-4.480e+02 1.000e+00 3.314e-05
-4.466e+02 1.000e+00 3.476e-05
-4.452e+02 1.000e+00 3.645e-05
-4.438e+02 1.000e+00 3.823e-05
-4.424e+02 1.000e+00 4.008e-05
-4.410e+02 1.000e+00 4.203e-05
-4.396e+02 1.000e+00 4.406e-05
-4.382e+02 1.000e+00 4.619e-05
-4.368e+02 1.000e+00 4.841e-05
-4.354e+02 9.999e-01 5.074e-05
-4.340e+02 9.999e-01 5.318e-05
-4.326e+02 9.999e-01 5.572e-05
-4.312e+02 9.999e-01 5.838e-05
-4.298e+02 9.999e-01 6.117e-05
-4.284e+02 9.999e-01 6.408e-05
-4.270e+02 9.999e-01 6.712e-05
-4.256e+02 9.999e-01 7.030e-05
-4.242e+02 9.999e-01 7.362e-05
-4.228e+02 9.999e-01 7.709e-05
-4.214e+02 9.999e-01 8.072e-05
-4.200e+02 9.999e-01 8.451e-05
-4.186e+02 9.999e-01 8.847e-05
-4.172e+02 9.999e-01 9.261e-05
-4.158e+02 9.999e-01 9.693e-05
-4.144e+02 9.999e-01 1.014e-04
-4.130e+02 9.999e-01 1.061e-04
-4.116e+02 9.999e-01 1.111e-04
-4.102e+02 9.999e-01 1.162e-04
-4.088e+02 9.999e-01 1.216e-04
-4.074e+02 9.999e-01 1.271e-04
-4.060e+02 9.999e-01 1.330e-04
-4.046e+02 9.999e-01 1.391e-04
-4.032e+02 9.999e-01 1.454e-04
-4.018e+02 9.998e-01 1.520e-04
-4.004e+02 9.998e-01 1.590e-04
-3.990e+02 9.998e-01 1.662e-04
-3.976e+02 9.998e-01 1.737e-04
-3.962e+02 9.998e-01 1.815e-04
-3.948e+02 9.998e-01 1.897e-04
-3.934e+02 9.998e-01 1.982e-04
-3.920e+02 9.998e-01 2.071e-04
-3.906e+02 9.998e-01 2.163e-04
-3.892e+02 9.998e-01 2.260e-04
-3.878e+02 9.998e-01 2.360e-04
-3.864e+02 9.998e-01 2.465e-04
-3.850e+02 9.997e-01 2.574e-04
-3.836e+02 9.997e-01 2.688e-04
-3.822e+02 9.997e-01 2.806e-04
-3.808e+02 9.997e-01 2.929e-04
-3.794e+02 9.997e-01 3.057e-04
-3.780e+02 9.997e-01 3.191e-04
-3.766e+02 9.997e-01 3.330e-04
-3.752e+02 9.997e-01 3.475e-04
-3.738e+02 9.996e-01 3.626e-04
-3.724e+02 9.996e-01 3.782e-04
-3.710e+02 9.996e-01 3.946e-04
-3.696e+02 9.996e-01 4.115e-04
-3.682e+02 9.996e-01 4.292e-04
-3.668e+02 9.996e-01 4.476e-04
-3.654e+02 9.995e-01 4.667e-04
-3.640e+02 9.995e-01 4.866e-04
-3.626e+02 9.995e-01 5.072e-04
-3.612e+02 9.995e-01 5.287e-04
-3.598e+02 9.994e-01 5.511e-04
-3.584e+02 9.994e-01 5.743e-04
-3.570e+02 9.994e-01 5.985e-04
-3.556e+02 9.994e-01 6.236e-04
-3.542e+02 9.994e-01 6.497e-04
-3.528e+02 9.993e-01 6.768e-04
-3.514e+02 9.993e-01 7.050e-04
-3.500e+02 9.993e-01 7.342e-04
-3.486e+02 9.992e-01 7.646e-04
-3.472e+02 9.992e-01 7.962e-04
-3.458e+02 9.992e-01 8.291e-04
-3.444e+02 9.991e-01 8.631e-04
-3.430e+02 9.991e-01 8.985e-04
-3.416e+02 9.991e-01 9.353e-04
-3.402e+02 9.990e-01 9.735e-04
-3.388e+02 9.990e-01 1.013e-03
-3.374e+02 9.989e-01 1.054e-03
