# snap_directory log_total_column_density(cm^-2) curr_spectrum ion  radius(kpc) gal_R200(kpc) gal_M200(log10(M/10^10*M_sol))
# /cosma5/data/dp004/dc-oppe1/data/L012N0376/data_L012N0376_eagle.NEQ.snap023 14.244 Spectrum0 h1 54.119 81.908 10.851
# velocity_array(km/s) ion_flux optical_depth
-3.899e+02 9.977e-01 2.348e-03
-3.885e+02 9.976e-01 2.423e-03
-3.871e+02 9.975e-01 2.468e-03
-3.857e+02 9.975e-01 2.476e-03
-3.843e+02 9.976e-01 2.445e-03
-3.829e+02 9.976e-01 2.375e-03
-3.815e+02 9.977e-01 2.272e-03
-3.801e+02 9.979e-01 2.143e-03
-3.787e+02 9.980e-01 1.997e-03
-3.773e+02 9.982e-01 1.838e-03
-3.759e+02 9.983e-01 1.671e-03
-3.745e+02 9.985e-01 1.499e-03
-3.731e+02 9.987e-01 1.329e-03
-3.717e+02 9.988e-01 1.169e-03
-3.703e+02 9.990e-01 1.030e-03
-3.689e+02 9.991e-01 9.189e-04
-3.675e+02 9.992e-01 8.371e-04
-3.661e+02 9.992e-01 7.820e-04
-3.647e+02 9.993e-01 7.462e-04
-3.633e+02 9.993e-01 7.212e-04
-3.619e+02 9.993e-01 6.996e-04
-3.605e+02 9.993e-01 6.774e-04
-3.591e+02 9.993e-01 6.539e-04
-3.577e+02 9.994e-01 6.313e-04
-3.563e+02 9.994e-01 6.127e-04
-3.549e+02 9.994e-01 6.005e-04
-3.535e+02 9.994e-01 5.955e-04
-3.521e+02 9.994e-01 5.965e-04
-3.507e+02 9.994e-01 6.016e-04
-3.493e+02 9.994e-01 6.087e-04
-3.479e+02 9.994e-01 6.170e-04
-3.465e+02 9.994e-01 6.269e-04
-3.451e+02 9.994e-01 6.403e-04
-3.437e+02 9.993e-01 6.597e-04
-3.423e+02 9.993e-01 6.874e-04
-3.409e+02 9.993e-01 7.252e-04
-3.395e+02 9.992e-01 7.740e-04
-3.381e+02 9.992e-01 8.344e-04
-3.367e+02 9.991e-01 9.072e-04
-3.353e+02 9.990e-01 9.941e-04
-3.339e+02 9.989e-01 1.099e-03
-3.325e+02 9.988e-01 1.227e-03
-3.311e+02 9.986e-01 1.385e-03
-3.297e+02 9.984e-01 1.581e-03
-3.283e+02 9.982e-01 1.819e-03
-3.269e+02 9.979e-01 2.104e-03
-3.255e+02 9.976e-01 2.440e-03
-3.241e+02 9.972e-01 2.832e-03
-3.227e+02 9.967e-01 3.286e-03
-3.213e+02 9.962e-01 3.815e-03
-3.199e+02 9.956e-01 4.432e-03
-3.185e+02 9.949e-01 5.156e-03
-3.171e+02 9.940e-01 6.003e-03
-3.157e+02 9.930e-01 6.992e-03
-3.143e+02 9.919e-01 8.142e-03
-3.129e+02 9.906e-01 9.473e-03
-3.115e+02 9.891e-01 1.101e-02
-3.101e+02 9.873e-01 1.278e-02
-3.087e+02 9.853e-01 1.482e-02
-3.073e+02 9.830e-01 1.714e-02
-3.059e+02 9.804e-01 1.980e-02
-3.045e+02 9.774e-01 2.282e-02
-3.031e+02 9.741e-01 2.624e-02
-3.017e+02 9.704e-01 3.010e-02
-3.003e+02 9.661e-01 3.444e-02
-2.989e+02 9.614e-01 3.933e-02
-2.975e+02 9.562e-01 4.481e-02
-2.961e+02 9.503e-01 5.095e-02
-2.947e+02 9.438e-01 5.781e-02
-2.933e+02 9.367e-01 6.544e-02
-2.919e+02 9.287e-01 7.392e-02
-2.905e+02 9.201e-01 8.331e-02
-2.891e+02 9.106e-01 9.369e-02
-2.877e+02 9.002e-01 1.051e-01
-2.863e+02 8.890e-01 1.177e-01
-2.849e+02 8.768e-01 1.315e-01
-2.835e+02 8.637e-01 1.465e-01
-2.821e+02 8.497e-01 1.629e-01
-2.807e+02 8.347e-01 1.806e-01
-2.793e+02 8.189e-01 1.998e-01
-2.779e+02 8.021e-01 2.205e-01
-2.765e+02 7.845e-01 2.427e-01
-2.751e+02 7.661e-01 2.664e-01
-2.737e+02 7.469e-01 2.918e-01
-2.723e+02 7.271e-01 3.187e-01
-2.709e+02 7.067e-01 3.472e-01
-2.695e+02 6.857e-01 3.773e-01
-2.681e+02 6.644e-01 4.088e-01
-2.667e+02 6.428e-01 4.419e-01
-2.653e+02 6.211e-01 4.762e-01
-2.639e+02 5.994e-01 5.119e-01
-2.625e+02 5.778e-01 5.486e-01
-2.611e+02 5.564e-01 5.862e-01
-2.597e+02 5.355e-01 6.245e-01
-2.583e+02 5.151e-01 6.634e-01
-2.569e+02 4.954e-01 7.024e-01
-2.555e+02 4.765e-01 7.414e-01
-2.541e+02 4.584e-01 7.800e-01
-2.527e+02 4.413e-01 8.180e-01
-2.513e+02 4.253e-01 8.550e-01
-2.499e+02 4.103e-01 8.909e-01
-2.485e+02 3.964e-01 9.253e-01
-2.471e+02 3.837e-01 9.579e-01
-2.457e+02 3.721e-01 9.887e-01
-2.443e+02 3.615e-01 1.017e+00
-2.429e+02 3.521e-01 1.044e+00
-2.415e+02 3.437e-01 1.068e+00
-2.401e+02 3.363e-01 1.090e+00
-2.387e+02 3.298e-01 1.109e+00
-2.373e+02 3.242e-01 1.126e+00
-2.359e+02 3.194e-01 1.141e+00
-2.345e+02 3.154e-01 1.154e+00
-2.331e+02 3.120e-01 1.165e+00
-2.317e+02 3.092e-01 1.174e+00
-2.303e+02 3.068e-01 1.181e+00
-2.289e+02 3.049e-01 1.188e+00
-2.275e+02 3.031e-01 1.194e+00
-2.261e+02 3.015e-01 1.199e+00
-2.247e+02 2.998e-01 1.205e+00
-2.233e+02 2.978e-01 1.211e+00
-2.219e+02 2.954e-01 1.219e+00
-2.205e+02 2.925e-01 1.229e+00
-2.191e+02 2.889e-01 1.242e+00
-2.177e+02 2.846e-01 1.257e+00
-2.163e+02 2.795e-01 1.275e+00
-2.149e+02 2.735e-01 1.296e+00
-2.135e+02 2.669e-01 1.321e+00
-2.121e+02 2.595e-01 1.349e+00
-2.107e+02 2.515e-01 1.380e+00
-2.093e+02 2.431e-01 1.414e+00
-2.079e+02 2.343e-01 1.451e+00
-2.065e+02 2.253e-01 1.490e+00
-2.051e+02 2.163e-01 1.531e+00
-2.037e+02 2.073e-01 1.573e+00
-2.023e+02 1.985e-01 1.617e+00
-2.009e+02 1.900e-01 1.661e+00
-1.995e+02 1.819e-01 1.704e+00
-1.981e+02 1.742e-01 1.747e+00
-1.967e+02 1.670e-01 1.790e+00
-1.953e+02 1.604e-01 1.830e+00
-1.939e+02 1.543e-01 1.869e+00
-1.925e+02 1.488e-01 1.905e+00
-1.911e+02 1.439e-01 1.939e+00
-1.897e+02 1.395e-01 1.970e+00
-1.883e+02 1.357e-01 1.997e+00
-1.869e+02 1.325e-01 2.021e+00
-1.855e+02 1.299e-01 2.041e+00
-1.841e+02 1.278e-01 2.058e+00
-1.827e+02 1.262e-01 2.070e+00
-1.813e+02 1.252e-01 2.078e+00
-1.799e+02 1.247e-01 2.082e+00
-1.785e+02 1.247e-01 2.082e+00
-1.771e+02 1.252e-01 2.078e+00
-1.757e+02 1.263e-01 2.069e+00
-1.743e+02 1.279e-01 2.057e+00
-1.729e+02 1.300e-01 2.040e+00
-1.715e+02 1.327e-01 2.019e+00
-1.701e+02 1.360e-01 1.995e+00
-1.687e+02 1.399e-01 1.967e+00
-1.673e+02 1.445e-01 1.935e+00
-1.659e+02 1.497e-01 1.899e+00
