# snap_directory log_total_column_density curr_spectrum ion  radius gal_R200 gal_M200
# /cosma5/data/dp004/dc-oppe1/Halo_x001/data_007_x001_eagle.NEQ.snap023restart 15.643 Spectrum11 h1 35.257 176.286 11.849
# velocity_array ion_flux optical_depth
3.240e+00 9.476e-37 8.295e+01
4.640e+00 3.789e-46 1.046e+02
6.039e+00 4.017e-56 1.276e+02
7.439e+00 5.902e-66 1.502e+02
8.839e+00 8.463e-75 1.706e+02
1.024e+01 8.474e-82 1.867e+02
1.164e+01 3.097e-86 1.969e+02
1.304e+01 1.168e-87 2.002e+02
1.444e+01 5.725e-86 1.963e+02
1.584e+01 1.968e-81 1.858e+02
1.724e+01 1.250e-74 1.702e+02
1.864e+01 2.452e-66 1.511e+02
2.004e+01 2.167e-57 1.305e+02
2.144e+01 1.490e-48 1.101e+02
2.284e+01 2.037e-40 9.139e+01
2.424e+01 2.327e-33 7.514e+01
2.564e+01 1.532e-27 6.174e+01
2.704e+01 6.025e-23 5.116e+01
2.844e+01 1.932e-19 4.309e+01
2.984e+01 7.971e-17 3.707e+01
3.124e+01 6.890e-15 3.261e+01
3.264e+01 1.952e-13 2.926e+01
3.404e+01 2.616e-12 2.667e+01
3.544e+01 2.189e-11 2.454e+01
3.684e+01 1.387e-10 2.270e+01
3.824e+01 7.545e-10 2.100e+01
3.964e+01 3.790e-09 1.939e+01
4.104e+01 1.827e-08 1.782e+01
4.244e+01 8.561e-08 1.627e+01
4.384e+01 3.899e-07 1.476e+01
4.524e+01 1.710e-06 1.328e+01
4.664e+01 7.122e-06 1.185e+01
4.804e+01 2.779e-05 1.049e+01
4.944e+01 1.002e-04 9.208e+00
5.084e+01 3.303e-04 8.016e+00
5.224e+01 9.871e-04 6.921e+00
5.364e+01 2.662e-03 5.929e+00
5.504e+01 6.465e-03 5.041e+00
5.644e+01 1.416e-02 4.257e+00
5.784e+01 2.805e-02 3.574e+00
5.924e+01 5.054e-02 2.985e+00
6.064e+01 8.334e-02 2.485e+00
6.204e+01 1.266e-01 2.067e+00
6.344e+01 1.783e-01 1.724e+00
6.484e+01 2.339e-01 1.453e+00
6.624e+01 2.870e-01 1.248e+00
6.764e+01 3.292e-01 1.111e+00
6.904e+01 3.520e-01 1.044e+00
7.044e+01 3.481e-01 1.055e+00
7.184e+01 3.139e-01 1.159e+00
7.324e+01 2.534e-01 1.373e+00
7.464e+01 1.786e-01 1.723e+00
7.604e+01 1.065e-01 2.239e+00
7.744e+01 5.198e-02 2.957e+00
7.884e+01 2.003e-02 3.911e+00
8.024e+01 5.894e-03 5.134e+00
8.164e+01 1.291e-03 6.653e+00
8.304e+01 2.075e-04 8.480e+00
8.444e+01 2.459e-05 1.061e+01
8.584e+01 2.209e-06 1.302e+01
8.724e+01 1.586e-07 1.566e+01
8.864e+01 9.876e-09 1.843e+01
9.004e+01 5.932e-10 2.125e+01
9.144e+01 3.901e-11 2.397e+01
9.284e+01 3.225e-12 2.646e+01
9.424e+01 3.848e-13 2.859e+01
9.564e+01 7.520e-14 3.022e+01
9.704e+01 2.664e-14 3.126e+01
9.844e+01 1.829e-14 3.163e+01
9.984e+01 2.495e-14 3.132e+01
1.012e+02 6.628e-14 3.034e+01
1.026e+02 3.223e-13 2.876e+01
1.040e+02 2.601e-12 2.668e+01
1.054e+02 3.077e-11 2.420e+01
1.068e+02 4.649e-10 2.149e+01
1.082e+02 7.816e-09 1.867e+01
1.096e+02 1.286e-07 1.587e+01
1.110e+02 1.856e-06 1.320e+01
1.124e+02 2.162e-05 1.074e+01
1.138e+02 1.921e-04 8.558e+00
1.152e+02 1.264e-03 6.673e+00
1.166e+02 6.126e-03 5.095e+00
1.180e+02 2.214e-02 3.810e+00
1.194e+02 6.127e-02 2.792e+00
1.208e+02 1.344e-01 2.007e+00
1.222e+02 2.425e-01 1.417e+00
1.236e+02 3.739e-01 9.837e-01
1.250e+02 5.096e-01 6.740e-01
1.264e+02 6.327e-01 4.577e-01
1.278e+02 7.334e-01 3.100e-01
1.292e+02 8.094e-01 2.114e-01
1.306e+02 8.634e-01 1.469e-01
1.320e+02 8.999e-01 1.054e-01
1.334e+02 9.239e-01 7.915e-02
1.348e+02 9.393e-01 6.264e-02
1.362e+02 9.491e-01 5.226e-02
1.376e+02 9.554e-01 4.566e-02
1.390e+02 9.595e-01 4.134e-02
1.404e+02 9.623e-01 3.838e-02
1.418e+02 9.644e-01 3.623e-02
1.432e+02 9.660e-01 3.456e-02
1.446e+02 9.674e-01 3.318e-02
1.460e+02 9.685e-01 3.198e-02
1.474e+02 9.696e-01 3.090e-02
1.488e+02 9.706e-01 2.989e-02
1.502e+02 9.715e-01 2.894e-02
1.516e+02 9.724e-01 2.801e-02
1.530e+02 9.733e-01 2.711e-02
1.544e+02 9.741e-01 2.619e-02
1.558e+02 9.751e-01 2.525e-02
1.572e+02 9.760e-01 2.425e-02
1.586e+02 9.771e-01 2.319e-02
